# x_m, y_m, w_tr_right_m, w_tr_left_m
16.94267925912266, -7.432889600942851, 1.1, 1.1
16.55090313780001, -7.2014857668978935, 1.1, 1.1
16.15893053893856, -6.970350883107623, 1.1, 1.1
15.766773662719118, -6.739456816319268, 1.1, 1.1
15.374444618276378, -6.5087755243261745, 1.1, 1.1
14.981955605791168, -6.27827878282944, 1.1, 1.1
14.589318916490413, -6.047938549622421, 1.1, 1.1
14.19654656846267, -5.817726509360086, 1.1, 1.1
13.803650852934904, -5.587614710881916, 1.1, 1.1
13.410644061134045, -5.357575020935128, 1.1, 1.1
13.017538848471538, -5.127580307774329, 1.1, 1.1
12.624379281272113, -4.897657794191048, 1.1, 1.1
